id,sex,age,age_group,marital,child,educ,source,smoke,smokenum,op1,Rop2,op3,Rop4,op5,Rop6,Rmast1,mast2,Rmast3,Rmast4,mast5,Rmast6,Rmast7,pn1,pn2,pn3,pn4,pn5,pn6,pn7,pn8,pn9,pn10,pn11,pn12,pn13,pn14,pn15,pn16,pn17,pn18,pn19,pn20,lifsat1,lifsat2,lifsat3,lifsat4,lifsat5,pss1,pss2,pss3,Rpss4,Rpss5,pss6,Rpss7,Rpss8,pss9,pss10,sest1,sest2,Rsest3,sest4,Rsest5,sest6,Rsest7,sest8,Rsest9,Rsest10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,Rpc1,Rpc2,pc3,pc4,pc5,pc6,Rpc7,pc8,pc9,pc10,Rpc11,pc12,pc13,pc14,Rpc15,Rpc16,pc17,pc18,Moptim,Mmast,Mpcoiss,Mslfest,Mposaff,Mnegaff,Mpstress,Mlifesat
415,1,24,0,4,1,5,7,0, ,3,4,3,4,4,4,3,4,3,3,4,3,2,5,5,4,4,4,5,5,5,5,5,5,5,5,3,5,3,5,5,4,4,5,6,5,4,3,3,3,4,3,2,3,3,3,3,2,4,4,4,4,4,4,3,4,2,2,1,0,1,1,0,0,1,0,0,0,2,2,3,3,4,4,2,2,3,2,2,4,2,2,3,3,4,4,3.66666666666667,3.14285714285714,2.83333333333333,3.5,4.9,4.2,2.9,4.6
9,0,39,1,3,1,5,1,1,2,2,3,4,3,5,2,3,4,3,2,4,3,2,4,5,4,5,3,3,3,2,5,4,4,4,4,3,2,2,2,3,4,4,7,6,5,7,5,2,2,3,1,2,3,1,2,3,3,3,4,4,4,4,4,2,3,4,2,1,1,1,0,1,0,0,1,0,0,2,3,3,4,3,2,1,1,1,1,1,2,4,2,2,4,2,2,3.16666666666667,3,2.22222222222222,3.4,3.5,3.5,2.2,6
425,1,48,1,4,1,2,4,0, ,3,5,3,3,3,2,2,3,3,2,3,3,3,2,1,2,2,1,1,3,1,1,1,1,1,1,2,2,2,1,1,2,1,7,7,7,6,6,1,2,2,2,2,2,2,2,2,2,4,3,2,3,4,3,3,3,3,3,1,1,1,1,1,0,1,1,0,1,3,3,4,2,3,3,3,3,3,3,2,3,2,2,2,2,2,2,3.16666666666667,2.71428571428571,2.61111111111111,3.1,1.5,1.4,1.9,6.6
307,0,41,1,5,1,2,1,0,0,3,5,5,3,5,5,3,4,4,4,4,4,3,5,5,3,5,2,5,5,5,5,5,5,5,4,2,5,5,5,5,3,1,7,6,7,7,6,4,3,5,1,2,3,3,2,5,3,4,4,4,4,4,4,4,4,4,4,1,1,0,0,0,0,0,1,0,0,4,4,4,5,4,4,2,3,4,4,5,3,2,2,3,4,4,2,4.33333333333333,3.71428571428571,3.5,4,4.9,3.6,3.1,6.6
440,0,23,0,1,0,5,1,0,0,3,4,3,4,1,3,4,4,3,4,2,3,3,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,3,2,2,3,4,3,2,2,3,3,3,2,2,3,2,1,2,2,2,2,3,1,0,1,1,0,0,0,1,0,0,5,4,2,1,2,1,4,2,3,1,3,2,1,3,4,5,1,2,3,3.28571428571429,2.55555555555556,2.1,1.2,1.1,2.7,3.2
484,1,31,1,4,1,5,7,0, ,2,4,2,4,3,2,4,3,3,3,3,4,3,2,1,1,3,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,3,2,3,2,2,3,2,2,2,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,5,3,4,3,2,1,2,2,3,3,3,1,4,1,2,2,1,1,2.83333333333333,3.28571428571429,2.38888888888889,2.4,1.4,1.2,2.1,2
341,1,30,0,6,0,4,8,0,0,3,1,1,2,1,2,1,2,1,1,2,1,1,1,4,4,1,3,1,1,4,1,3,4,1,1,3,1,4,2,1,4,4,1,1,1,1,1,4,4,4,4,4,4,4,3,4,4,2,3,1,2,1,2,1,2,1,1,0,1,0,0,1,0,0,0,1,0,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1.66666666666667,1.28571428571429,1.38888888888889,1.6,1.1,3.7,3.9,1
300,0,23,0,2,0,5,1,1,100,4,5,3,5,4,4,3,4,4,3,3,2,2,1,3,4,1,2,1,1,5,1,4,4,1,2,5,2,5,1,1,4,2,5,5,5,4,6,3,3,5,3,4,5,4,5,2,5,4,4,4,4,4,3,2,3,3,3,1,1,1,0,0,0,0,1,0,0,3,2,2,2,2,2,1,1,1,1,2,1,3,1,2,4,3,2,4.16666666666667,3,1.94444444444444,3.4,1.2,3.8,3.9,5
61,1,18,0,2,0,2,2,1,40,3,2,2,2,2,2,2,2,2,2,2,1,1,2,4,4,1,4,1,1,4,1,1,1,1,1,4,1,4,1,1,4,4,2,2,2,1,1,4,4,5,4,5,4,3,4,5,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,2,2,2,1,2,1,2,1,1,2,1,1,1,2,2,1,2,2.16666666666667,1.71428571428571,1.5,1.4,1.1,3.4,4.3,1.6
24,0,23,0,1,0,6, ,0,0,1,3,1,2,1,1,2,1,2,2,2,1,3,2,5,5,2,4,2,2,5,2,3,4,2,2,5,2,5,2,2,5,5,1,1,1,1,1,4,5,5,5,5,5,4,5,4,4,2,2,2,3,3,1,1,1,4,4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1.5,1.85714285714286,1.11111111111111,2.3,2,4.6,4.6,1
